"film_id","length","maximum_length","minimum_length"
122,114,185,46
123,85,185,46
124,163,185,46
125,61,185,46
127,112,185,46
128,183,185,46
129,179,185,46
130,110,185,46
131,152,185,46
132,114,185,46
134,51,185,46
135,70,185,46
154,81,185,46
136,146,185,46
137,66,185,46
138,71,185,46
139,114,185,46
140,87,185,46
141,185,185,46
142,122,185,46
143,142,185,46
144,61,185,46
145,124,185,46
146,107,185,46
147,101,185,46
148,132,185,46
149,150,185,46
150,101,185,46
151,143,185,46
152,90,185,46
153,165,185,46
155,150,185,46
156,164,185,46
157,143,185,46
158,124,185,46
159,58,185,46
160,65,185,46
161,70,185,46
162,95,185,46
163,139,185,46
164,55,185,46
184,92,185,46
165,70,185,46
166,149,185,46
167,109,185,46
168,67,185,46
169,76,185,46
170,120,185,46
171,59,185,46
172,112,185,46
173,65,185,46
174,180,185,46
175,122,185,46
176,87,185,46
177,172,185,46
178,115,185,46
179,173,185,46
180,184,185,46
181,166,185,46
182,185,185,46
183,112,185,46
185,146,185,46
186,64,185,46
187,57,185,46
188,136,185,46
189,139,185,46
190,172,185,46
191,143,185,46
192,50,185,46
193,153,185,46
194,104,185,46
195,112,185,46
196,69,185,46
197,112,185,46
198,184,185,46
199,56,185,46
200,133,185,46
201,176,185,46
202,161,185,46
203,84,185,46
204,106,185,46
205,58,185,46
206,144,185,46
207,121,185,46
208,89,185,46
209,99,185,46
210,130,185,46
211,165,185,46
212,185,185,46
214,59,185,46
215,57,185,46
216,113,185,46
217,120,185,46
218,122,185,46
219,51,185,46
220,106,185,46
221,100,185,46
222,64,185,46
223,76,185,46
224,81,185,46
225,76,185,46
226,56,185,46
227,88,185,46
228,143,185,46
229,87,185,46
230,107,185,46
231,63,185,46
232,147,185,46
233,141,185,46
234,94,185,46
235,68,185,46
236,100,185,46
237,47,185,46
238,57,185,46
239,122,185,46
240,120,185,46
241,125,185,46
242,68,185,46
243,49,185,46
244,139,185,46
245,177,185,46
246,154,185,46
247,47,185,46
248,177,185,46
249,176,185,46
250,170,185,46
251,133,185,46
252,135,185,46
253,61,185,46
254,159,185,46
255,175,185,46
256,178,185,46
257,110,185,46
258,96,185,46
259,116,185,46
260,132,185,46
261,171,185,46
262,119,185,46
263,154,185,46
264,101,185,46
266,141,185,46
267,140,185,46
268,96,185,46
269,98,185,46
270,85,185,46
271,148,185,46
272,153,185,46
273,107,185,46
274,67,185,46
275,85,185,46
276,115,185,46
277,126,185,46
278,155,185,46
279,152,185,46
280,177,185,46
281,143,185,46
282,92,185,46
283,85,185,46
284,77,185,46
285,51,185,46
286,158,185,46
287,176,185,46
288,167,185,46
289,66,185,46
290,163,185,46
291,174,185,46
292,51,185,46
293,167,185,46
294,138,185,46
295,97,185,46
296,178,185,46
297,122,185,46
298,172,185,46
299,144,185,46
300,102,185,46
301,155,185,46
302,131,185,46
303,58,185,46
304,130,185,46
305,91,185,46
306,104,185,46
307,77,185,46
308,142,185,46
309,98,185,46
310,158,185,46
311,72,185,46
312,75,185,46
313,118,185,46
314,91,185,46
315,156,185,46
316,173,185,46
317,148,185,46
318,103,185,46
319,125,185,46
320,80,185,46
321,123,185,46
322,100,185,46
323,179,185,46
324,148,185,46
325,145,185,46
326,69,185,46
327,158,185,46
328,131,185,46
329,63,185,46
330,112,185,46
331,90,185,46
332,159,185,46
333,126,185,46
334,65,185,46
335,133,185,46
336,99,185,46
337,73,185,46
338,51,185,46
339,111,185,46
340,183,185,46
341,82,185,46
342,83,185,46
343,94,185,46
344,178,185,46
345,161,185,46
346,128,185,46
347,119,185,46
348,86,185,46
349,185,185,46
350,80,185,46
351,106,185,46
352,176,185,46
353,125,185,46
354,85,185,46
355,101,185,46
356,102,185,46
357,114,185,46
358,163,185,46
359,173,185,46
360,103,185,46
361,89,185,46
362,115,185,46
363,54,185,46
364,73,185,46
365,154,185,46
366,93,185,46
367,153,185,46
368,84,185,46
369,56,185,46
370,108,185,46
371,129,185,46
372,140,185,46
373,156,185,46
374,117,185,46
375,85,185,46
376,155,185,46
377,135,185,46
378,93,185,46
379,166,185,46
380,176,185,46
381,150,185,46
382,137,185,46
383,111,185,46
385,139,185,46
386,53,185,46
387,100,185,46
388,70,185,46
389,127,185,46
390,84,185,46
391,146,185,46
392,51,185,46
393,47,185,46
394,146,185,46
449,119,185,46
395,108,185,46
396,62,185,46
397,107,185,46
398,47,185,46
399,100,185,46
400,72,185,46
401,168,185,46
402,52,185,46
403,121,185,46
404,107,185,46
405,76,185,46
406,181,185,46
407,47,185,46
408,69,185,46
409,59,185,46
410,48,185,46
411,49,185,46
412,102,185,46
413,169,185,46
414,75,185,46
415,84,185,46
416,110,185,46
417,93,185,46
418,157,185,46
419,141,185,46
420,128,185,46
421,78,185,46
422,136,185,46
423,69,185,46
424,149,185,46
425,88,185,46
426,185,185,46
427,103,185,46
428,141,185,46
429,84,185,46
430,49,185,46
450,84,185,46
431,176,185,46
432,139,185,46
433,95,185,46
434,139,185,46
435,181,185,46
436,122,185,46
437,109,185,46
438,68,185,46
439,151,185,46
440,105,185,46
441,125,185,46
442,65,185,46
443,49,185,46
444,83,185,46
445,100,185,46
446,150,185,46
447,131,185,46
448,172,185,46
451,160,185,46
452,122,185,46
453,178,185,46
454,180,185,46
455,103,185,46
456,167,185,46
457,157,185,46
458,135,185,46
459,74,185,46
460,178,185,46
461,123,185,46
462,78,185,46
463,116,185,46
464,107,185,46
465,59,185,46
466,63,185,46
467,181,185,46
468,97,185,46
469,46,185,46
470,79,185,46
471,84,185,46
472,174,185,46
473,181,185,46
474,174,185,46
475,135,185,46
476,130,185,46
477,118,185,46
478,112,185,46
479,128,185,46
480,84,185,46
481,58,185,46
482,102,185,46
483,171,185,46
484,172,185,46
485,60,185,46
486,59,185,46
487,124,185,46
488,105,185,46
489,54,185,46
490,121,185,46
491,74,185,46
492,134,185,46
493,92,185,46
494,120,185,46
495,169,185,46
496,179,185,46
497,54,185,46
498,161,185,46
499,184,185,46
500,163,185,46
501,141,185,46
502,71,185,46
503,171,185,46
504,46,185,46
505,46,185,46
753,48,185,46
506,67,185,46
507,113,185,46
508,144,185,46
509,78,185,46
510,181,185,46
511,175,185,46
512,110,185,46
513,153,185,46
514,69,185,46
515,113,185,46
516,59,185,46
517,167,185,46
518,140,185,46
519,138,185,46
520,91,185,46
521,147,185,46
522,137,185,46
523,174,185,46
560,62,185,46
524,50,185,46
525,140,185,46
526,120,185,46
527,85,185,46
528,155,185,46
529,67,185,46
530,108,185,46
531,137,185,46
532,80,185,46
533,98,185,46
534,70,185,46
535,181,185,46
536,65,185,46
537,75,185,46
538,162,185,46
539,152,185,46
540,97,185,46
541,74,185,46
561,123,185,46
542,52,185,46
543,116,185,46
544,147,185,46
545,178,185,46
546,98,185,46
547,117,185,46
548,53,185,46
549,171,185,46
550,74,185,46
551,138,185,46
552,130,185,46
553,136,185,46
554,159,185,46
555,133,185,46
556,127,185,46
557,177,185,46
558,71,185,46
559,114,185,46
562,151,185,46
563,165,185,46
564,161,185,46
565,56,185,46
566,72,185,46
567,80,185,46
568,77,185,46
569,147,185,46
570,104,185,46
571,161,185,46
572,64,185,46
573,105,185,46
574,86,185,46
575,48,185,46
576,122,185,46
577,64,185,46
578,142,185,46
579,149,185,46
580,166,185,46
581,59,185,46
582,162,185,46
583,164,185,46
584,180,185,46
585,105,185,46
586,60,185,46
587,77,185,46
588,175,185,46
589,74,185,46
590,135,185,46
591,182,185,46
592,107,185,46
593,158,185,46
594,126,185,46
595,83,185,46
596,171,185,46
597,184,185,46
598,57,185,46
599,103,185,46
600,166,185,46
601,79,185,46
602,146,185,46
603,53,185,46
604,160,185,46
605,157,185,46
606,160,185,46
607,50,185,46
608,166,185,46
609,185,185,46
610,129,185,46
611,73,185,46
612,180,185,46
613,92,185,46
614,178,185,46
615,180,185,46
616,92,185,46
617,50,185,46
618,132,185,46
619,161,185,46
620,131,185,46
621,75,185,46
622,159,185,46
623,75,185,46
624,149,185,46
625,83,185,46
626,57,185,46
627,67,185,46
628,172,185,46
629,128,185,46
630,48,185,46
631,64,185,46
632,145,185,46
633,54,185,46
634,48,185,46
635,58,185,46
636,161,185,46
637,131,185,46
638,156,185,46
639,92,185,46
640,102,185,46
641,76,185,46
642,120,185,46
643,118,185,46
644,115,185,46
645,118,185,46
646,169,185,46
647,129,185,46
648,148,185,46
649,85,185,46
650,144,185,46
651,84,185,46
652,126,185,46
653,102,185,46
654,93,185,46
655,109,185,46
656,128,185,46
657,48,185,46
658,121,185,46
659,109,185,46
660,107,185,46
661,157,185,46
662,118,185,46
663,99,185,46
664,65,185,46
665,175,185,46
666,145,185,46
667,160,185,46
668,80,185,46
669,74,185,46
670,48,185,46
671,99,185,46
672,82,185,46
673,118,185,46
674,99,185,46
675,60,185,46
676,137,185,46
677,136,185,46
678,77,185,46
679,50,185,46
680,103,185,46
681,100,185,46
682,134,185,46
683,60,185,46
684,173,185,46
685,132,185,46
686,84,185,46
687,138,185,46
688,61,185,46
689,137,185,46
690,185,185,46
691,159,185,46
692,179,185,46
693,115,185,46
694,98,185,46
695,144,185,46
696,114,185,46
697,53,185,46
698,71,185,46
699,106,185,46
700,115,185,46
701,155,185,46
702,89,185,46
703,100,185,46
704,121,185,46
705,88,185,46
706,163,185,46
707,177,185,46
708,112,185,46
709,147,185,46
710,120,185,46
711,154,185,46
712,82,185,46
713,74,185,46
714,73,185,46
715,147,185,46
716,136,185,46
717,97,185,46
718,73,185,46
719,182,185,46
720,179,185,46
721,182,185,46
722,123,185,46
723,82,185,46
724,110,185,46
725,167,185,46
726,61,185,46
727,117,185,46
728,63,185,46
729,177,185,46
730,46,185,46
731,153,185,46
732,58,185,46
733,149,185,46
734,158,185,46
735,102,185,46
736,134,185,46
737,102,185,46
738,178,185,46
739,145,185,46
740,153,185,46
741,81,185,46
742,101,185,46
743,60,185,46
744,89,185,46
745,162,185,46
746,118,185,46
747,171,185,46
748,109,185,46
749,153,185,46
750,145,185,46
751,181,185,46
752,101,185,46
754,150,185,46
755,99,185,46
756,80,185,46
757,106,185,46
758,125,185,46
759,73,185,46
760,110,185,46
761,154,185,46
762,154,185,46
763,75,185,46
764,150,185,46
765,182,185,46
766,84,185,46
767,183,185,46
768,102,185,46
769,151,185,46
770,147,185,46
788,104,185,46
771,137,185,46
772,80,185,46
773,112,185,46
774,182,185,46
775,110,185,46
776,90,185,46
777,158,185,46
778,109,185,46
779,54,185,46
780,98,185,46
781,127,185,46
782,60,185,46
783,93,185,46
784,47,185,46
785,80,185,46
786,113,185,46
787,125,185,46
789,79,185,46
790,67,185,46
791,167,185,46
792,154,185,46
793,139,185,46
794,52,185,46
795,111,185,46
796,135,185,46
797,67,185,46
798,74,185,46
799,51,185,46
800,126,185,46
801,152,185,46
802,132,185,46
803,179,185,46
804,129,185,46
805,64,185,46
806,137,185,46
807,87,185,46
808,84,185,46
809,156,185,46
810,147,185,46
811,60,185,46
812,50,185,46
813,184,185,46
814,110,185,46
815,74,185,46
816,62,185,46
817,185,185,46
818,180,185,46
819,165,185,46
820,184,185,46
821,184,185,46
822,169,185,46
823,143,185,46
824,52,185,46
825,165,185,46
826,124,185,46
827,141,185,46
828,79,185,46
829,138,185,46
830,149,185,46
831,138,185,46
832,175,185,46
833,134,185,46
834,151,185,46
835,112,185,46
836,136,185,46
837,85,185,46
838,112,185,46
839,130,185,46
840,75,185,46
841,181,185,46
842,113,185,46
843,143,185,46
844,140,185,46
845,48,185,46
846,93,185,46
847,160,185,46
848,94,185,46
849,57,185,46
850,163,185,46
851,151,185,46
852,103,185,46
853,139,185,46
890,172,185,46
854,119,185,46
855,132,185,46
856,73,185,46
857,144,185,46
858,127,185,46
859,114,185,46
860,93,185,46
861,111,185,46
862,53,185,46
863,141,185,46
864,92,185,46
865,135,185,46
866,48,185,46
867,58,185,46
868,114,185,46
869,47,185,46
870,123,185,46
871,176,185,46
891,69,185,46
872,185,185,46
873,108,185,46
874,155,185,46
875,173,185,46
876,91,185,46
877,64,185,46
878,74,185,46
879,148,185,46
880,152,185,46
881,71,185,46
882,99,185,46
883,53,185,46
884,88,185,46
885,179,185,46
886,184,185,46
887,135,185,46
888,53,185,46
889,111,185,46
892,104,185,46
893,91,185,46
894,68,185,46
895,142,185,46
896,157,185,46
897,179,185,46
898,152,185,46
899,144,185,46
900,136,185,46
901,142,185,46
902,170,185,46
903,139,185,46
904,71,185,46
905,132,185,46
906,171,185,46
907,168,185,46
908,110,185,46
909,102,185,46
910,87,185,46
911,64,185,46
912,52,185,46
913,115,185,46
914,61,185,46
915,92,185,46
916,80,185,46
917,152,185,46
918,152,185,46
919,82,185,46
920,62,185,46
921,172,185,46
922,107,185,46
923,78,185,46
924,129,185,46
925,164,185,46
926,120,185,46
927,174,185,46
928,84,185,46
929,128,185,46
930,145,185,46
931,48,185,46
932,73,185,46
933,126,185,46
934,122,185,46
935,142,185,46
936,123,185,46
937,85,185,46
938,173,185,46
939,90,185,46
940,64,185,46
941,145,185,46
942,174,185,46
943,76,185,46
944,179,185,46
945,164,185,46
946,144,185,46
947,59,185,46
948,139,185,46
949,157,185,46
950,132,185,46
951,78,185,46
952,152,185,46
953,112,185,46
954,73,185,46
955,135,185,46
956,107,185,46
957,80,185,46
958,178,185,46
959,83,185,46
960,128,185,46
961,161,185,46
962,85,185,46
963,78,185,46
964,61,185,46
965,112,185,46
966,70,185,46
967,134,185,46
968,79,185,46
969,159,185,46
970,52,185,46
971,109,185,46
972,59,185,46
973,183,185,46
974,181,185,46
975,137,185,46
976,111,185,46
977,85,185,46
978,98,185,46
979,100,185,46
980,75,185,46
981,55,185,46
982,126,185,46
983,105,185,46
984,126,185,46
985,111,185,46
986,85,185,46
987,116,185,46
988,139,185,46
989,74,185,46
990,171,185,46
991,185,185,46
992,176,185,46
993,178,185,46
994,100,185,46
995,86,185,46
996,183,185,46
997,179,185,46
998,105,185,46
999,101,185,46
1000,50,185,46
